,count,mean,std,min,25%,50%,75%,max
Time,289.0,8640.0,5014.279609275893,0.0,4320.0,8640.0,12960.0,17280.0
Truck unloading mean time,289.0,109.11726643598615,16.402197211222916,0.0,105.386,108.379,118.713,129.428
Truck loading mean time,289.0,84.69853633217993,13.333181775163176,0.0,84.646,87.64,88.367,92.341
Order assembling mean waiting time,289.0,176.4564186851211,45.926099724642896,0.0,157.401,178.198,201.681,250.865
Order assembling mean time,289.0,256.86561937716266,37.01800563033723,0.0,259.999,266.693,270.79,272.661
Order loading mean waiting time,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Time.1,289.0,8640.0,5014.279609275893,0.0,4320.0,8640.0,12960.0,17280.0
Forklifts utilization,289.0,0.9420173010380622,0.09282646805656766,0.0,0.92,0.97,0.984,0.988
Unloading docks utilization,289.0,0.9965397923875432,0.0588235294117647,0.0,1.0,1.0,1.0,1.0
Loading docks utilization,289.0,0.6303287197231834,0.12876054125706962,0.0,0.591,0.681,0.704,0.725
Storage utilization,289.0,0.08156401384083045,0.08848381572323977,0.0,0.009,0.036,0.146,0.302
Predicted assembling time,289.0,256.86561937716266,33.38007012188197,29.396432540459166,257.56056201230535,264.395681685618,267.6987022232969,274.40405276626115
Quality Assessment,0.0,,,,,,,
