,count,mean,std,min,25%,50%,75%,max
Time,289.0,8640.0,5014.279609275893,0.0,4320.0,8640.0,12960.0,17280.0
Truck unloading mean time,289.0,139.98647750865052,23.22982085850892,0.0,131.038,149.468,153.846,164.138
Truck loading mean time,289.0,70.99015916955018,10.69377414450781,0.0,71.388,72.812,75.347,77.331
Order assembling mean waiting time,289.0,173.41893425605537,29.003844800789803,0.0,175.592,179.733,184.072,192.115
Order assembling mean time,289.0,257.6122076124568,34.169189620952096,0.0,247.985,269.965,271.117,273.183
Order loading mean waiting time,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forklifts utilization,289.0,0.9755224913494811,0.08699820607597776,0.0,0.986,0.993,0.995,0.996
Unloading docks utilization,289.0,0.9965397923875432,0.0588235294117647,0.0,1.0,1.0,1.0,1.0
Loading docks utilization,289.0,0.5707820069204153,0.10710497943405524,0.0,0.59,0.596,0.607,0.632
Storage utilization,289.0,0.3406470588235294,0.04173560962908187,0.0,0.315,0.339,0.379,0.4
Predicted assembling time,289.0,257.6122076124568,31.10968437962241,47.839486588425814,255.03771460662924,267.26289253468997,270.70139590750625,277.06722239440785
