,count,mean,std,min,25%,50%,75%,max
Time,289.0,8640.0,5014.279609275893,0.0,4320.0,8640.0,12960.0,17280.0
Truck unloading mean time,289.0,144.81386159169548,18.315949246116954,0.0,148.1,148.801,149.501,160.967
Truck loading mean time,289.0,100.04294117647059,16.109775348673306,0.0,103.766,103.903,104.433,106.01
Order assembling mean waiting time,289.0,347.4930553633218,3772.125880456704,0.0,31.934,33.259,37.741,45532.0
Order assembling mean time,289.0,237.01684775086508,39.20127947552741,0.0,226.088,241.321,264.715,271.048
Order loading mean waiting time,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mean pallet put time,289.0,1748.1486401384084,8695.501388666271,0.0,20.498,22.707,23.54,45405.0
Mean pallet pickup time,289.0,1279.895287197232,7461.124875328419,0.0,21.486,23.802,25.576,45558.0
Forklifts utilization,289.0,0.7942076124567474,0.1140135765437333,0.0,0.813,0.821,0.839,0.846
Unloading docks utilization,289.0,0.9965397923875432,0.0588235294117647,0.0,1.0,1.0,1.0,1.0
Loading docks utilization,289.0,0.7222491349480968,0.15195759713608953,0.0,0.764,0.772,0.779,0.789
Storage utilization,289.0,0.8518927335640138,0.08192369575514911,0.0,0.809,0.838,0.912,1.0
Predicted assembling time,289.0,237.0168477508651,33.31630049319754,24.845501092875963,244.1030159034485,244.4181525562963,245.4954029708374,260.46193678809635
